Fortuna Union,FUHSD, https://fortunaunionhsd.asp.aeries.net/student/
Fountain Valley,FVSD, https://portal.fvsd.us/
Fowler Unified, , https://portal.fowlerusd.org/parent/
Fullerton Joint Union,FJTUHSD, https://mystudent.fjuhsd.org/Parent/
Gateway Community Charters, , https://aeries.gcccharters.org/parent/
Gilroy Unified, , https://gilroyusd.asp.aeries.net/student/
Glendora Unified, , https://aeries.glendora.k12.ca.us/ParentPortal/
Gold Oak Union,GOUSD, https://gousdaeries.edcoe.org/parent/
Gold Trail Union,GTUS, https://gtusdaeries.edcoe.org/parent/
Golden Valley Unified, , https://goldenvalleyusd.asp.aeries.net/Student/
Gonzales Unified, , https://gonzalesusd.asp.aeries.net/student/
Grant Elementary, , https://parent-net.grantschoolcougars.com/
Greenfield Union,GFUSD, https://aeries.gfusd.net/aeries.net/
Grenada Elementary, , https://grenadaesd.asp.aeries.net/student/
Gridley Unified,GUSD, https://gridleyusd.asp.aeries.net/student/
Guadalupe, , https://guadalupe.asp.aeries.net/Student/
Guajome Park Academy, , https://parent.guajome.net/
Guidance Charter, , https://guidancecharter.asp.aeries.net/Student/
Hacienda La Puente Unified,HLPUSD, https://parent.hlpusd.k12.ca.us/aeries.net/
Hamilton Unified, , https://hamiltonusd.asp.aeries.net/student/
Hart Ransom Union Elementary, , https://hartransom.asp.aeries.net/Student/
Hemet Unified, , https://portals.hemetusd.org/aeries.net/
Hilmar Unified, , https://adn.hilmar.k12.ca.us/Aeries.net/
Holy Family High School College Preparatory, , https://holyfamilyhs.asp.aeries.net/Student/
Howell Mountain Elementary, , https://howellmountainesd.asp.aeries.net/Student/
Huntington Beach Union,HBUHSD, https://aeries.hbuhsd.edu/parent/
Inglewood Unified, , https://inglewoodusd.asp.aeries.net/Student/
International Polytechnic,IPOLY, https://ipoly.asp.aeries.net/student/
Irvine Unified,IUSD, https://my.iusd.org/
Jefferson,, https://jefferson.asp.aeries.net/Student/
Kairos Public School Vacaville Academy, , https://kairospsvacavilleacademy.asp.aeries.net/Student/
Kerman Unified,KUSD, https://aeries.kermanusd.com/parent/
Keyes Union, , https://aeries.keyes.k12.ca.us/parent/
Kingsburg, , https://kingsburgjuhsd.asp.aeries.net/Student/
Kingsburg Joint Union Elementary,KJUHSD, https://abi.kingsburg-elem.k12.ca.us/parent/
La Ca̱ada Unified School District,LCUSD, https://abi.lcusd.net/parentportal/
La Habra City, , https://lahabraschools.asp.aeries.net/Student/
Lafayette Elementary, , https://lafayette.asp.aeries.net/Student/
Laguna Beach Unified,LBUSD, https://login.lbusd.org/ParentPortal/
Lake Tahoe Unified, , https://laketahoe.asp.aeries.net/Student/
Lakeside, , https://lakesideusd.asp.aeries.net/Student/
Lammersville, , https://lammersville.asp.aeries.net/Student/
Las Virgenes Unified,LVUSD, https://parent.lvusd.org/
Le Grand Union,LGHS, https://abi.lghs.k12.ca.us/parent/
Liberty Union,LUHSD, https://luhsd.asp.aeries.net/student/
Lincoln Unified, , https://lincoln.asp.aeries.net/Student/
Linden Unified, , https://linden.asp.aeries.net/Student/
Livingston Union,LUSD, https://parentportalnet.lusd.k12.ca.us/
Lodi Unified, , https://homeaccess.lodiusd.net/parent/
Los Alamitos Unified,LAUSD, https://aeriesportal.losal.org/parent/
Los Molinos Unified,lmusd, https://lmusdparent.tehamaschools.org/
Lost Hills Union, , https://losthillsuesd.asp.aeries.net/student/
Lucia Mar Unified,lmusd, https://parent.lmusd.org/
Lynwood Unified, , https://lynwoodusd.asp.aeries.net/student/
Madera Unified, , https://abi.madera.k12.ca.us/parentportal/
Manhattan Beach Unified,MBUSD, https://mbusd.asp.aeries.net/student/
Manzanita Elementary, , https://manzanita.asp.aeries.net/Student/
McSwain Union Elementary, , https://mcswainuesd.asp.aeries.net/Student/
Mendocino Unified, , https://musdpwp.mcn.org/parentportal/
Merced Union,MUHSD, https://muhsd.asp.aeries.net/Student/
Milpitas Unified,MUSD, https://go.musd.org/
Mojave Unified, , https://outside.mojave.k12.ca.us/parents/
Morgan Hill Unified, , https://morganhillusd.asp.aeries.net/student/
Mountain Valley Unified,MVUSD, https://mountainvalleyusd.asp.aeries.net/Student/
Mountain View-Los Altos Union,MVLA, https://mvla.asp.aeries.net/student/
Mt. Baldy Joint Elementary, , https://mtbaldyjesd.asp.aeries.net/Student/
Muroc Joint Unified, , https://murocjusd.asp.aeries.net/student/
NOVA Academy, , https://novaacademy.asp.aeries.net/student/
New Jerusalem Elementary, , https://newjerusalemesd.asp.aeries.net/student/
Novato Unified,NUSD, https://aeries.nusd.org/parent/
Oak Grove Union, , https://oakgroveusd.asp.aeries.net/Student/
Oakdale Joint Unified, , https://oakdalejusd.asp.aeries.net/Student/
Oakland Military, , https://oaklandmilitaryicp.asp.aeries.net/student/
Oakland Unified,OUSD, https://parent.ousd.org/
Ocean View,OVSD, https://portal.ovsd.org/
Oceanside Unified, , https://oside.asp.aeries.net/student/
Orange County School of the Arts, , https://familysis.ocsarts.net/
Orange Unified,OUSD, https://ps.orangeusd.org/
Orcutt Union, , https://orcutt.asp.aeries.net/Student/
Orland Unifted School District, , https://parent-net.orlandusd.net/
Oro Grande, , https://orogrande.asp.aeries.net/Student/
Oroville Union, , https://parent.ouhsd.org/
Oxford Preparatory Academy Charter Schools, , https://oxfordprep.asp.aeries.net/Student/
Palos Verdes Peninsula Unified, , https://palosverdes.asp.aeries.net/student/
Paradise Unified, , https://aeries.pusdk12.org/ParentPortal/
Pasadena Unified,PUSD, https://pasadenausd.asp.aeries.net/Student/
Pittsburg Unified, , https://aeriesnet.pittsburg.k12.ca.us/parentportal/
Placer Union, , https://aeriesportal.placercoe.k12.ca.us/Parent/PHUSD/
Planada Elementary, , https://planadaesd.asp.aeries.net/Student/
Plumas Lake Elementary, , https://plumaslakeesd.asp.aeries.net/student/
Point Arena Joint Union, , https://pointarena.asp.aeries.net/Student/
Port of Los Angeles, , https://portoflahs.asp.aeries.net/Student/
Providence High School, , https://aeries.providencehigh.org/students/
Redding, , https://aeries.reddingschools.net/parent/
Redding School of the Arts, , https://aeries.reddingschools.net/parent/
Reef-Sunset Unified, , https://reefsunset.asp.aeries.net/Student/
Rescue Union, , https://aeries.rescueusd.org/rusdportal/
Richfield Elementary, , https://richfieldparent.tehamaschools.org/
Rim of the World Unified, , https://rimoftheworld.asp.aeries.net/Student/
Ripon Unified, , https://ripon.asp.aeries.net/Student/
River Delta Unified, , https://riverdeltausd.asp.aeries.net/student/
Riverbank Unified, , https://riverbankusd.asp.aeries.net/Student/
Riverside Unified, , https://aeriesportal.rusd.k12.ca.us/parent,
Rocklin Unified, , https://parent.rocklinusd.org/parent/
Rosary Academy, , https://rosary.asp.aeries.net/Student/
Roseville Joint Union, , https://rosevillejuhsd.asp.aeries.net/student/
Rowland Unified, , https://aeries.rowlandschools.org/homelink/
Saddleback Valley Unified, , https://familyportal.svusd.org/ParentPortal/
Salesian College Preparatory, , https://salesiancp.asp.aeries.net/student/
San Gabriel Unified,SGUSD, https://sis.sgusd.k12.ca.us/portal/
San Jacinto Unified, , https://sanjacintousd.asp.aeries.net/student/
San Jacinto Valley Academy, , https://sanjacintovalleyacademy.asp.aeries.net/Student/
San Luis Obispo County Office of Education,SLOCOE, https://slocoe.asp.aeries.net/Student/
San Miguel Joint Union, , https://sanmigueljusd.asp.aeries.net/student/
San Rafael City Schools (Elementary),SANRAFAEL, https://sanrafael.asp.aeries.net/studentES/
San Rafael City Schools (High School),SANRAFAEL, https://sanrafael.asp.aeries.net/studentHS/
Santa Ana Unified,SAUSD, https://eportal.sausd.us/parentportal/
Santa Barbara Unified, , https://aeries.sbunified.org/parent/
Santa Margarita Catholic High School,SMHS, https://aeries.smhs.org/parent/
Santa Maria Joint Union,SMJUHSD, https://aeriesnet.smjuhsd.k12.ca.us/parentportal/
Santa Ynez Valley Union, , https://santaynezvuhsd.asp.aeries.net/Student/
Savanna Elementary, , https://savannasd.asp.aeries.net/Student/
Scott Valley Unified, , https://scottvalleyusd.asp.aeries.net/student/
Servite High School, , https://servite.asp.aeries.net/student/
Shasta Union,SUHSD, https://parent-net.suhsd.net/parentPortal/
Simi Valley Unified, , https://simivalleyusd.aeries.net/student/
Siskiyou Union,SISUHSD, https://parent-net.sisuhsd.net/
Solvang Elementary, , https://solvangesd.asp.aeries.net/student/
Sonora Elementary, , https://sonoraesd.asp.aeries.net/Student/
Sonora Union, , https://abi.sonorahs.k12.ca.us/portal/
South Pasadena Unified,SPUSD, https://my.spusd.net/parentportal/
South Whittier Elementary,SWHITTIER, https://parentportal.swhittier.k12.ca.us/
Southern Kern Unified, , https://southernkern.asp.aeries.net/Student/
Strathmore Union Elementary,SUESD, https://aeries.suesd.k12.ca.us/parent/
Sulphur Springs Union, , https://sulphursprings.asp.aeries.net/Student/
Sunol Glen Unified, , https://sunolglenusd.asp.aeries.net/student/
Sutter Union, , https://portal.sutterhigh.k12.ca.us/parent/
Taft Union,TAFT, https://aeries.taft.k12.ca.us/mycats/
Tahoe-Truckee Unified, , https://tahoetruckeeusd.aeries.net/student/
Tehachapi Unified, , https://tehachapi.asp.aeries.net/Student/
Temecula Preparatory,TEMECULAPREP, https://temeculaprep.asp.aeries.net/Student/
Temple City Unified,TCUSD, https://aeriesnet.tcusd.net/parent/
The Preuss School, , https://preuss.asp.aeries.net/Student/
Thermalito Union, , https://aeries.thermalito.org/Portal/
Tipton Elementary, , https://tiptonesd.asp.aeries.net/Student/
Tracy Unified,TUSD, https://sisweb.tusd.net/ParentPortal/
Turlock Unified, , https://turlockusd.asp.aeries.net/student/
Tustin Unified,TUSD, https://parentnet.tustin.k12.ca.us/ParentPortal/
Twin Hills Union, , https://twinhillsusd.asp.aeries.net/student/
Ukiah Unified,UUSD, https://uusd.asp.aeries.net/Student/
Upland Unified,UUSD, https://uplandusd.aeries.net/Student/
Val Verde Unified, , https://aeriesweb.valverde.edu/parentportal/
Vaughn Next Century Learning Center,VAUGHNNCLC, https://vaughnnclc.asp.aeries.net/Student/
Victor Valley Union,VVUHSD, https://portal.vvuhsd.org/parent/
Vista Unified,VISTAUSD, https://parents.vistausd.org/
Walnut Creek,WCSD, https://portal.wcsd.k12.ca.us/parent/
Wasco Union Elementary,WUESD, https://aeriesnet.wuesd.org/parent/
Wasco Union High School,WASCOHSD, https://net.wascohsd.org/ParentPortal/
Washington Unified,WUSD, https://aeries.wusd.k12.ca.us/parentportal/
Washington Unified (Fresno), , https://washington.asp.aeries.net/Student/
Westminster,WSDK, https://parentportal.wsdk8.us/parent/
Whittier Union,WUHSD, https://aeries.wuhsd.org/parent/
Wilder's Preparatory Academy Charter, , https://wildersprepacademy.asp.aeries.net/Student/
Wonderful College Prep Academy, , https://wonderfulcpa.asp.aeries.net/Student/
Yreka Union Elementary,YUESD, https://yrekausd.asp.aeries.net/Student/
Yucaipa-Calimesa Joint Unified, YCJU, https://abi.ycjusd.us/portalaccess/
Irvine Unified School District Last Year,IUSD, https://my-lastyear.iusd.org/
Army Navy Academy, , https://mycadet.org/aeries.net/
Bishop Montgomery High School, , https://bishopmontgomery.asp.aeries.net/Student/
Burton Elementary, , https://aeries.burtonschools.org/aeries.net/
